Date,Close,High,Low,Open,Volume,BBG,Close_Change,Close_Change_Pct,Volume_Change,Volume_Change_Pct,Daily_Return,SMA_7,SMA_30,SMA_50,SMA_100,EMA_12,EMA_20,EMA_26,EMA_50,Volatility_30,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Std,BB_Upper,BB_Lower,Signal_MA_Cross_Buy,Signal_MA_Cross_Sell,Signal_MACD_Buy,Signal_MACD_Sell,Signal_BB_Buy,Signal_BB_Sell,Trade_Score,Trade_Label
2025-05-19,181.34286499023438,181.43074498141257,178.21810401534051,179.88789834754897,5216700,ABBV,,,,,,,,,,181.34286499023438,181.34286499023438,181.34286499023438,181.34286499023438,,,0.0,0.0,0.0,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-05-20,180.5030975341797,181.6260483245875,179.3215451799543,180.51285701149993,5505100,ABBV,-0.8397674560546875,-0.4630827113600078,288400.0,5.5283991795579634,-0.004630827113600078,,,,,181.21366999699518,181.26288713727678,181.28065999348956,181.30993293313418,,,-0.0669899964943852,-0.01339799929887704,-0.053591997195508154,,,,,False,False,False,True,False,False,-1,SELL
2025-05-21,177.52481079101562,180.46402254205128,177.27091539128205,179.60471177365716,5140900,ABBV,-2.9782867431640625,-1.649992041050763,-364200.0,-6.615683638807646,-0.01649992041050763,,,,,180.64615319607526,180.9068798662043,181.00244894145445,181.16149677069816,,,-0.3562957453791853,-0.0819775485149387,-0.2743181968642466,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-05-22,178.24740600585938,179.24342398749732,176.01126391077244,177.14398907420653,4689200,ABBV,0.72259521484375,0.4070390001397639,-451700.0,-8.786399268610555,0.004070390001397639,,,,,180.27711516681129,180.65359664140954,180.79837168696594,181.0472187014888,,,-0.5212565201546511,-0.16983334284288118,-0.35142317731176986,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-05-23,178.95046997070312,179.79024688880057,177.44669101967347,178.08139972173896,4027000,ABBV,0.70306396484375,0.3944315267177867,-662200.0,-14.121811822912223,0.003944315267177867,,,,,180.07301590587156,180.49139410134225,180.6614900783539,180.9649932610658,,,-0.5884741724823357,-0.2535615087707721,-0.3349126637115636,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-05-27,181.35263061523438,181.6162854976719,179.5754223780137,179.93673163171405,5726700,ABBV,2.40216064453125,1.3423606235426488,1699700.0,42.207598708716176,0.013423606235426488,,,,,180.26987970731201,180.57341662647482,180.71268567367838,180.98019472593518,,,-0.4428059663663646,-0.2914104002898906,-0.15139556607647398,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-05-28,178.7844696044922,181.72369627015047,178.08139986320256,180.99133319797087,4787800,ABBV,-2.5681610107421875,-1.416114562016424,-938900.0,-16.395131576649725,-0.01416114562016424,179.5293927873884,,,,180.04135507610894,180.40304071961936,180.56985485373866,180.8940878584276,,,-0.5284997776297189,-0.3388282757578563,-0.1896715018718626,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-05-29,181.25497436523438,182.35840616921357,178.3938830964636,179.14578002749153,4925900,ABBV,2.4705047607421875,1.3818340967800324,138100.0,2.884414553657222,0.013818340967800324,179.51683698381697,,,,180.22806573597438,180.48417725729698,180.62060444718279,180.90824027045926,,,-0.39253871120840245,-0.34957036284796555,-0.04296834836043689,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-05-30,181.7334747314453,182.2998373544236,178.7063677568981,180.6495766753943,11609000,ABBV,0.4785003662109375,0.2639929568204469,6683100.0,135.67266895389673,0.0026399295682044688,179.6926051548549,,,,180.459667119893,180.60315796912064,180.7030392830541,180.9406024061842,,,-0.2433721631610979,-0.32833072291059207,0.08495855974949418,,,,,False,False,True,False,False,False,1,BUY
2025-06-02,182.5927734375,182.5927734375,178.85283741921614,181.3623938936467,4435600,ABBV,0.8592987060546875,0.47283457674736074,-7173400.0,-61.79171332586786,0.004728345767473607,180.4165998186384,,,,180.78783732260177,180.79264515658537,180.84301959079082,181.00539342702012,,,-0.055182268189042816,-0.27370103196628226,0.21851876377723944,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-06-03,182.84666442871094,184.29185685674437,180.4738150009256,182.50488900250252,5335600,ABBV,0.2538909912109375,0.13904766680037373,900000.0,20.290377851925335,0.0013904766680037373,181.0736367361886,,,,181.10457995431088,180.98826603964494,180.99143772693304,181.0776001329688,,,0.11314222737783552,-0.1963323800974587,0.3094746074752942,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-06-04,182.93453979492188,185.70775124601127,182.86619365139157,183.97938500288328,4382200,ABBV,0.0878753662109375,0.048059594899085845,-953400.0,-17.868655821275958,0.00048059594899085845,181.64278956821985,,,,181.3861122374818,181.17362544490942,181.13537121345075,181.15042129618266,,,0.2507410240310435,-0.10691769927175827,0.35765872330280174,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-06-05,183.0614776611328,184.16490947563642,180.6983878981855,183.0907709924944,4417900,ABBV,0.1269378662109375,0.06938977535528856,35700.0,0.8146593035461613,0.0006938977535528856,181.88691057477678,,,,181.64386076419734,181.35342089407354,181.2780457651309,181.22536468304347,,,0.3658149990664299,-0.012371159604120635,0.3781861586705505,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-06-06,185.36599731445312,186.01048046189038,183.87197768173633,184.05751206357127,3607800,ABBV,2.3045196533203125,1.258877445306239,-810100.0,-18.33676633694742,0.01258877445306239,182.82712881905692,,,,182.21649715654436,181.73557102934777,181.5808569910066,181.38774243329482,,,0.635640165537751,0.11723110542425372,0.5184090601134973,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-06-09,184.7117462158203,187.27988940982559,184.565264652686,186.02999088423465,4661500,ABBV,-0.6542510986328125,-0.3529509770462069,1053700.0,29.20616442153112,-0.0035295097704620693,183.32095336914062,,,,182.60038162720218,182.0190162852023,181.8127747113632,181.51809552280562,,59.653057780272846,0.7876069158389782,0.25130626750719864,0.5363006483317796,,,,,False,False,False,False,False,False,0,NEUTRAL
2025-06-10,185.04373168945312,187.36776854937264,184.36019581887814,184.59454246023842,4087500,ABBV,0.3319854736328125,0.17973165239038025,-574000.0,-12.313632950766918,0.0017973165239038025,183.7938472202846,,,,182.97628163677925,182.30708441894046,182.0521048578884,181.65635576463495,,63.4005005795663,0.9241767788908533,0.3858803697839296,0.5382964091069237,,,,,False,False,False,False,False,False,0,NEUTRAL
